CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Contract,PaperlessBilling2,PaymentMethod,MonthlyCharges,TotalCharges,Churned
CUST-0001,Female,0,Yes,No,33,Yes,Yes,No,No,No,No,No,Yes,No,No,One year,No,Credit card (automatic),53.3,1793.13,No
CUST-0002,Male,0,Yes,No,44,Yes,No,DSL,No,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,30.43,1334.2,No
CUST-0003,Male,0,No,No,42,Yes,Yes,No,Yes,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),66.21,2655.15,No
CUST-0004,Female,0,No,No,4,Yes,Yes,No,No,No,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,44.42,175.8,No
CUST-0005,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,52.83,307.38,No
CUST-0006,Male,0,Yes,Yes,38,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No internet service,No,Two year,Yes,Electronic check,102.11,3790.17,No
CUST-0007,Female,0,No,Yes,28,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),94.21,2659.79,Yes
CUST-0008,Female,0,No,Yes,7,No,Yes,Fiber optic,No,No,No,No,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),101.93,713.61,No
CUST-0009,Female,0,No,No,69,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,64.08,4508.61,Yes
CUST-0010,Male,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,No,One year,No,Bank transfer (automatic),75.39,439.53,No
CUST-0011,Female,0,No,No,8,Yes,No,DSL,No,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),35.28,285.78,Yes
CUST-0012,Male,0,Yes,Yes,55,No,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,96.38,5116.09,Yes
CUST-0013,Female,0,Yes,Yes,67,Yes,Yes,DSL,No,No,No,No,Yes,No,No internet service,One year,Yes,Mailed check,103.05,6903.55,No
CUST-0014,Female,0,No,No,39,Yes,Yes,No,No,No,No,No,No internet service,No,No,Two year,Yes,Electronic check,112.2,4485.27,No
CUST-0015,Female,0,Yes,No,68,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,No internet service,Two year,Yes,Credit card (automatic),90.99,6468.71,No
CUST-0016,Female,0,Yes,Yes,55,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,35.03,1852.37,No
CUST-0017,Male,0,Yes,No,53,Yes,Yes,No,Yes,No,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,65.82,3631.19,No
CUST-0018,Female,0,No,No,29,Yes,Yes,No,No,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),54.48,1597.93,No
CUST-0019,Female,0,Yes,No,49,Yes,Yes,DSL,Yes,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),61.51,3117.75,Yes
CUST-0020,Male,0,Yes,No,72,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),64.91,4614.31,No
CUST-0021,Male,1,No,No,8,No,Yes,DSL,No,No,No,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),45.72,381.33,No
