Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved (Y/N),Speed of Answer (seconds),Satisfaction Rating
C0001,Greg,2021-01-01,10:47,Streaming,Y,Y,109,5
C0002,Jim,2021-01-01,09:27,Streaming,Y,Y,18,4
C0003,Becky,2021-01-01,15:44,Streaming,Y,N,15,5
C0004,Stewart,2021-01-01,10:27,Technical Support,Y,N,28,2
C0005,Stewart,2021-01-01,09:54,Payment related,Y,Y,83,2
C0006,Greg,2021-01-01,17:05,Admin Support,Y,N,88,3
C0007,Diane,2021-01-01,09:42,Admin Support,N,,259,
C0008,Becky,2021-01-01,11:06,Technical Support,Y,Y,62,4
C0009,Martha,2021-01-01,15:44,Payment related,Y,Y,35,4
C0010,Diane,2021-01-01,11:59,Payment related,N,,249,
C0011,Jim,2021-01-01,09:52,Admin Support,Y,Y,87,5
C0012,Joe,2021-01-01,11:41,Technical Support,N,,208,
C0013,Diane,2021-01-01,10:08,Payment related,Y,N,69,5
C0014,Dan,2021-01-01,12:14,Technical Support,Y,Y,29,3
C0015,Becky,2021-01-01,10:43,Payment related,Y,Y,74,4
C0016,Jim,2021-01-01,17:55,Payment related,Y,N,111,3
C0017,Greg,2021-01-01,14:07,Technical Support,Y,N,107,3
C0018,Martha,2021-01-01,13:11,Contract related,Y,Y,92,3
C0019,Jim,2021-01-01,12:10,Payment related,Y,Y,61,5
C0020,Diane,2021-01-01,16:19,Streaming,N,,160,
C0021,Martha,2021-01-01,09:31,Contract related,Y,Y,99,4
C0022,Becky,2021-01-01,14:16,Contract related,N,,246,
C0023,Greg,2021-01-01,15:12,Technical Support,Y,Y,81,4
C0024,Stewart,2021-01-01,11:04,Streaming,Y,Y,15,2
C0025,Martha,2021-01-01,14:14,Contract related,N,,159,
C0026,Joe,2021-01-01,13:17,Streaming,Y,N,88,4
C0027,Becky,2021-01-01,11:30,Streaming,Y,Y,69,4
C0028,Martha,2021-01-01,16:03,Streaming,Y,N,28,3
C0029,Dan,2021-01-01,10:28,Technical Support,Y,Y,24,4
C0030,Martha,2021-01-01,16:35,Streaming,N,,257,
C0031,Diane,2021-01-01,08:05,Streaming,Y,Y,66,5
C0032,Becky,2021-01-01,10:00,Technical Support,Y,Y,69,5
