CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0001,Female,No,No,Yes,24,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,88.88,2123.78,No
CUST-0002,Female,Yes,No,No,2,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,72.23,135.72,No
CUST-0003,Male,No,No,Yes,14,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,49.02,694.56,No
CUST-0004,Female,No,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),94.61,1975.01,No
CUST-0005,Male,No,No,Yes,45,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),55.54,2501.1,No
CUST-0006,Female,Yes,No,No,27,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,One year,Yes,Electronic check,69.45,1917.87,No
CUST-0007,Female,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.92,418.7,Yes
CUST-0008,Female,No,Yes,No,22,Yes,No,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,99.24,2232.61,No
CUST-0009,Female,No,Yes,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),77.92,1655.33,No
CUST-0010,Female,No,Yes,No,9,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,85.04,807.64,Yes
CUST-0011,Female,No,No,No,16,No,No phone service,Fiber optic,No,Yes,No internet service,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.42,1049.06,No
CUST-0012,Male,No,Yes,Yes,10,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,59.57,624.83,No
CUST-0013,Male,No,Yes,Yes,2,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.88,166.92,Yes
