Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved (Y/N),Speed of Answer (seconds),Satisfaction Rating
C0001,Martha,2021-03-23,11:47:00,Contract related,Y,Y,36,4
C0002,Sarah,2021-02-24,09:05:00,Technical Support,Y,Y,16,4
C0003,Dan,2021-02-27,15:51:00,Admin Support,N,N,,
C0004,Joe,2021-02-13,12:13:00,Streaming,N,N,,
C0005,Greg,2021-01-12,13:22:00,Streaming,N,N,,
C0006,Joe,2021-02-28,15:59:00,Contract related,Y,Y,170,4
C0007,Martha,2021-01-25,16:02:00,Admin Support,Y,N,30,5
C0008,Martha,2021-02-05,14:53:00,Contract related,Y,Y,63,4
C0009,Diane,2021-03-23,11:46:00,Payment related,Y,Y,79,5
C0010,Joe,2021-01-08,12:02:00,Technical Support,Y,Y,26,3
C0011,Stewart,2021-03-25,14:56:00,Technical Support,N,N,,
C0012,Sarah,2021-02-03,11:47:00,Payment related,Y,Y,159,4
C0013,Dan,2021-01-29,20:08:00,Technical Support,Y,Y,22,5
C0014,Jim,2021-03-29,14:04:00,Streaming,Y,Y,129,4
C0015,Dan,2021-03-29,18:48:00,Admin Support,Y,Y,38,4
C0016,Martha,2021-01-01,20:56:00,Payment related,Y,N,55,4
C0017,Jim,2021-03-23,14:12:00,Contract related,Y,N,148,5
C0018,Greg,2021-02-11,14:07:00,Technical Support,N,N,,
C0019,Martha,2021-01-08,12:36:00,Admin Support,N,N,,
C0020,Dan,2021-01-09,20:34:00,Payment related,Y,Y,131,5
C0021,Diane,2021-03-09,18:27:00,Payment related,N,N,,
C0022,Diane,2021-02-21,20:41:00,Streaming,Y,N,125,2
C0023,Jim,2021-02-13,09:35:00,Technical Support,Y,Y,28,5
C0024,Diane,2021-01-09,19:55:00,Contract related,Y,Y,81,4
C0025,Diane,2021-01-17,16:56:00,Streaming,Y,Y,131,5
C0026,Martha,2021-01-13,16:22:00,Streaming,Y,Y,23,4
C0027,Diane,2021-02-21,16:51:00,Technical Support,N,N,,
C0028,Martha,2021-01-25,15:08:00,Admin Support,Y,Y,73,5
C0029,Jim,2021-03-12,11:41:00,Streaming,N,N,,
C0030,Jim,2021-01-31,11:31:00,Admin Support,Y,N,25,3
C0031,Stewart,2021-02-03,19:50:00,Technical Support,Y,Y,152,4
C0032,Stewart,2021-01-25,13:03:00,Contract related,Y,Y,90,2
C0033,Diane,2021-03-09,11:32:00,Admin Support,Y,Y,162,2
C0034,Joe,2021-01-16,19:36:00,Payment related,Y,Y,168,2
C0035,Joe,2021-01-27,16:20:00,Streaming,Y,Y,175,4
C0036,Martha,2021-01-02,14:36:00,Contract related,N,N,,
C0037,Martha,2021-01-28,14:08:00,Technical Support,N,N,,
C0038,Greg,2021-02-17,12:28:00,Contract related,N,N,,
C0039,Greg,2021-03-25,14:42:00,Streaming,N,N,,
C0040,Diane,2021-01-18,12:56:00,Payment related,Y,Y,79,4
C0041,Sarah,2021-01-27,16:54:00,Payment related,Y,Y,23,2
C0042,Sarah,2021-01-06,09:49:00,Contract related,Y,N,51,5
C0043,Dan,2021-01-02,11:56:00,Admin Support,Y,Y,19,5
C0044,Jim,2021-01-17,10:23:00,Payment related,N,N,,
C0045,Dan,2021-01-27,16:42:00,Technical Support,Y,N,114,5
C0046,Joe,2021-01-21,20:51:00,Admin Support,Y,Y,55,5
C0047,Jim,2021-03-27,18:51:00,Admin Support,Y,Y,37,4
C0048,Diane,2021-01-29,12:58:00,Admin Support,Y,Y,68,3
C0049,Greg,2021-02-12,12:04:00,Payment related,N,N,,
C0050,Joe,2021-03-24,14:43:00,Streaming,N,N,,
C0051,Sarah,2021-01-15,18:16:00,Payment related,Y,N,77,1
C0052,Sarah,2021-02-10,14:32:00,Streaming,Y,N,58,3
C0053,Martha,2021-03-08,19:34:00,Payment related,Y,N,60,4
C0054,Sarah,2021-03-21,13:54:00,Payment related,Y,N,139,4
C0055,Dan,2021-02-21,16:35:00,Contract related,Y,Y,107,4
C0056,Greg,2021-03-14,13:35:00,Payment related,N,N,,
C0057,Diane,2021-01-27,14:37:00,Contract related,Y,Y,123,4
C0058,Joe,2021-03-02,17:50:00,Streaming,Y,Y,82,4
C0059,Stewart,2021-01-31,16:14:00,Contract related,Y,Y,21,3
C0060,Diane,2021-01-10,14:56:00,Technical Support,Y,Y,108,4
C0061,Diane,2021-03-25,16:57:00,Technical Support,Y,N,37,5
C0062,Stewart,2021-03-31,14:03:00,Contract related,Y,N,41,4
C0063,Sarah,2021-03-13,15:48:00,Contract related,N,N,,
C0064,Stewart,2021-02-27,19:47:00,Payment related,N,N,,
C0065,Stewart,2021-02-01,18:17:00,Streaming,Y,Y,170,3
